"run","trend_true","trend_est_q025","trend_est_q500","trend_est_q975","cov","max_Rhat","n_counts","n_counts_w_SE"
1,-0.685675735684155,-2.07039268758031,-1.27452931687435,-0.383689649769055,TRUE,1.05454040967626,62,41
2,0.771537554760027,-1.26759044852485,-0.285401467362822,0.626214350631051,FALSE,1.02360261722518,55,36
3,0.86024601868695,-0.498626904832054,0.435770692276038,1.47184902047903,TRUE,1.02693839550503,62,41
4,0.0833687098833247,-2.31389596386502,-1.41675951172358,-0.463196525978716,FALSE,1.04047118584258,62,41
5,0.852104953134547,-0.616495880986667,0.475183915539001,1.31058629039785,TRUE,1.06624585729605,62,41
6,0.918104226679484,-0.32504022932765,1.14994276296351,2.33749441650291,TRUE,1.08558657500103,59,39
7,-0.069559168793587,-1.19172912960185,-0.275001478828507,0.829350976472394,TRUE,1.03349794269731,63,41
8,0.781674502485741,-2.17401501017045,-0.532774238470124,1.20029399148193,TRUE,1.11333192585227,61,40
9,6.31615633678901,0.89941483577513,4.44318262867129,6.58125976013269,TRUE,1.1085074913176,54,36
10,0.37971772034513,-0.267755338289087,0.519601291011773,1.46894310399106,TRUE,1.02991798617984,49,32
11,-0.456838456703623,-1.86793922825355,-0.808054223070792,0.0701443517545807,TRUE,1.03912572244713,56,37
12,-0.0952471267902544,-2.27843913514297,-1.25375300143443,-0.0222941052784336,TRUE,1.02981585568171,70,46
13,1.5691754087412,-0.636353930858066,0.469780154628618,1.64305649480977,TRUE,1.055452337551,64,42
14,-0.483012376279268,-0.78683548420622,-0.00190557509713307,0.843299139027094,TRUE,1.08949772516321,62,41
15,1.13715067577633,-0.506764775912397,0.415418168015935,1.35872029062787,TRUE,1.05160916580715,67,44
16,-0.046831223502497,-1.2216996156956,-0.318396425507639,0.494697104097333,TRUE,1.02525056467118,62,41
17,2.81407326632102,-0.853662442020466,1.34288047098393,2.88244317638133,TRUE,1.02579395171178,53,35
18,0.21062767484854,-0.329501634684735,0.470075538769499,1.2009246433021,TRUE,1.03226866481822,59,39
19,-0.293575661912071,-0.925007333787906,0.0308304002032744,1.0546437008608,TRUE,1.04038592534608,63,41
