"run","trend_true","trend_est_q025","trend_est_q500","trend_est_q975","cov","max_Rhat"
1,-0.32607415747512,-1.23430477282561,-0.505173754269306,0.297419113466961,TRUE,1.03980516088605
2,0.981114260423244,0.5356270087552,1.45818564322439,2.46151124335475,TRUE,1.03284414794201
3,0.37510073200957,-1.08045986783464,-0.18915073506201,0.788505332145483,TRUE,1.01581402047739
4,-0.558310023994213,-1.43565568586748,-0.0601621981358658,1.23441118482828,TRUE,1.11015366388344
5,0.171407200259477,-1.27248221444652,-0.0941839739816097,0.988814529764829,TRUE,1.01531321470029
6,0.0582571041080282,0.226662149828389,1.55736751208935,2.72892244250217,FALSE,1.04479757276655
7,0.274682107883928,0.0468661170009177,0.942329761252714,1.84494902413516,TRUE,1.02387057551437
8,0.231073142504234,-0.760750219044425,0.121744697579729,1.0283731260853,TRUE,1.01952621557781
9,-0.713141512338888,-1.23771261807782,-0.651984874223771,-0.0344549741118541,TRUE,1.02502219949473
10,0.999666381899478,-0.0481062485134509,1.39316944160619,3.12454456834387,TRUE,1.20099337855302
11,0.802863325314629,-0.224900577495807,0.656047697119766,1.44854582202657,TRUE,1.0242098173044
12,-1.98214266863544,-2.9230930267944,-1.92567086519659,-0.925756521978786,TRUE,1.02706550110014
13,1.21703199278662,-0.181297210654154,0.792668944832842,1.64650281242624,TRUE,1.02962777491819
14,-0.796022332612067,-1.49124673684644,-0.360446709555712,0.816727435662825,TRUE,1.01661597601799
15,2.02873501440086,1.00033331350521,1.93712751025584,2.98502021463992,TRUE,1.05574447320066
16,-0.0368478380452397,-0.979574243355443,0.276627012416297,1.39156062883562,TRUE,1.02376016373281
17,-3.05508122162788,-4.20060071860715,-2.620604152748,-1.43620958757403,TRUE,1.04081490510414
18,2.91627729163169,-0.976675566707437,1.09579015045698,2.6837627675963,FALSE,1.0370971198501
19,2.46094418444065,1.47249775629071,2.51079439077322,3.45923651488743,TRUE,1.03562917157661
20,-1.13377932409199,-2.17258340085346,-1.16370857174987,-0.139405607455056,TRUE,1.03952805479991
21,0.746880150862927,-0.839589025682447,0.721959195821487,2.41609820229807,TRUE,1.02226792854592
22,-1.19485993412157,-1.47698152473102,-0.512315817929948,0.491104371001756,TRUE,1.01519111379085
23,3.02984063533878,1.50616231189844,3.24566976227677,5.01085434513195,TRUE,1.21153326994987
24,-0.930507879035114,-3.18432913665886,-2.10247335072157,-1.14760547827385,FALSE,1.04033036672526
25,0.0106351287952444,-1.56511481401465,-0.537676837472295,0.332374099232457,TRUE,1.0191061497917
26,0.881647012634423,0.887485141307347,1.98780636282626,3.07330006311343,FALSE,1.06453428544053
27,5.18926240261484,0.668332352131133,3.26276149468273,7.62102521347528,TRUE,1.06422081402851
28,0.162539060011824,-0.906581497082973,0.725063130483206,2.0198400681134,TRUE,1.03925427688272
29,1.1465411764227,-0.683012163941319,0.501979826817101,2.00195687156467,TRUE,1.03064774958535
