"run","trend_true","trend_est_q025","trend_est_q500","trend_est_q975","cov","max_Rhat","n_counts","n_counts_w_SE"
30,0.770655317670599,-0.232495023448636,0.851157415864923,1.95489342889142,TRUE,1.25538224373344,35,23
31,0.979711139611639,-1.99196708809932,-0.514536958846057,0.991895242925357,TRUE,1.03699829730661,34,23
32,-0.848136726401083,-1.83144179269181,-0.648784160400318,0.434795553791824,TRUE,1.21862675011418,47,31
33,0.108994196872292,-1.27507705819559,-0.177265086018386,0.792790655595169,TRUE,1.10961441925041,33,22
34,-0.140301472733662,-3.15563076419879,-1.12758078943028,0.852761708188087,TRUE,1.05606588711743,38,25
35,2.04618138221646,-1.10018676078819,0.841422550468585,2.37828793864055,TRUE,1.31701872530178,39,26
36,-0.710444649558917,-1.49751399030182,-0.350078046510577,0.772821942722902,TRUE,1.03352850020506,39,26
37,-0.525971017569804,-0.611212607407173,0.462408205931286,1.54315062028685,TRUE,1.03171171841468,38,25
38,-0.445403176704962,-1.0866828138453,-0.0733087130443566,0.811423206481272,TRUE,1.0411375153245,28,19
39,3.59641637460104,2.38434632843986,3.60902967471721,4.771775272657,TRUE,1.06149327222658,31,21
40,2.32340532616082,0.156238520315495,2.99407697344011,5.14920222936151,TRUE,1.06607821689121,38,25
41,-0.424976655825049,-2.24714971860813,-0.535148830080023,1.10741805894505,TRUE,1.02061015818792,38,25
42,-0.645568519139561,-1.45667964377674,-0.275773948468994,0.709106663352827,TRUE,1.04433640097688,31,21
43,4.23030003158473,2.13862570452993,3.05848242551112,4.00858175626719,FALSE,1.12656340968556,37,25
44,-1.04183501660255,-3.43518329696851,-1.87699588624916,-0.431279382672294,TRUE,1.02054830057035,43,28
45,3.30890717367416,0.372662449040163,1.64817952850183,2.69132782874237,FALSE,1.04342676446618,31,21
46,-0.710917417141188,-1.87589096548529,-0.831924878590307,0.36029600457475,TRUE,1.01948018281644,34,23
47,2.62501683127048,-0.482748383964821,1.07758634736311,3.38803132892466,TRUE,1.3790094974023,30,20
48,-1.03908924495887,-2.40634392805253,-1.3098351250783,-0.325220732183332,TRUE,1.05858108910334,37,25
49,0.283672537943724,-1.75046740295515,-0.508804298764748,0.82123524937719,TRUE,1.5240256317088,32,21
50,-0.0931215122504603,-1.59041493205166,-0.327948575316289,0.864177396910245,TRUE,1.04294952201427,35,23
51,-0.235835846307986,-1.75957984599899,-0.634260579831053,0.466550631747541,TRUE,1.03442344335572,33,22
52,-0.563752427789099,-2.09340997419553,-1.20613714561595,-0.227669703694988,TRUE,1.06013342553419,36,24
53,0.916119968024409,-0.137721001463334,1.21134507313633,2.600497755265,TRUE,1.03057400423343,41,27
54,-1.3133203339202,-3.27664069273682,-1.97734650345863,-0.376852277075295,TRUE,1.05813511342922,32,21
55,-1.18727720890699,-1.11349858699509,-0.317017950140935,0.620060245143785,FALSE,1.05533194936945,36,24
56,-0.132630869143402,-2.44181090464298,-0.868547494997507,0.282967277918867,TRUE,1.02746346422258,36,24
57,1.15528000800367,1.17422571007877,2.36878252019045,3.7785717625725,FALSE,1.0207774372576,39,26
58,0.707636085896901,-1.34552742078154,0.267161445905129,1.83181620301889,TRUE,1.02828883975469,35,23
59,1.96110455035006,0.393388781891467,2.37729151667571,3.62795955181394,TRUE,1.23972528624386,33,22
60,1.50727337557961,0.149334579469326,1.63958653943804,3.02256076334961,TRUE,1.10875679460046,32,21
61,-1.76946256854768,-2.60559812293955,-1.54226552678681,-0.506151574225505,TRUE,1.02071292002855,31,21
62,5.30986983524508,1.5063063437465,3.37126502128183,5.2416843288748,FALSE,1.26096431196454,31,21
63,-0.0101809676293141,-1.82088413140967,-0.880097339309616,0.0333236954723098,TRUE,1.18731375361716,36,24
64,1.01059386741951,0.394632098196173,1.64112898445929,2.7934690989827,TRUE,1.03671312073469,34,23
65,-1.18160559557643,-1.90839854852091,-0.568081995798198,0.662832961292384,TRUE,1.03338955617009,36,24
66,0.621998168288473,-0.56695446987609,0.167335821032444,0.922867423289161,TRUE,1.03857422210165,40,26
67,-0.783639796542035,-2.42025482300574,-1.45089262318581,-0.0887740463863215,TRUE,1.02927831048362,31,21
68,0.596481205205701,-1.02458625933631,-0.21614459890717,0.591061647716509,FALSE,1.05965237643975,34,23
69,0.834174073299176,-0.438273549834683,0.445997612737448,1.12381576064728,TRUE,1.02744919227634,39,26
70,-0.00906442450738787,-1.13379457153753,-0.221178984115411,0.690965241240261,TRUE,1.02722542386069,42,28
71,-0.0400136722481959,-1.5565974254658,-0.528599797857082,0.471013816600512,TRUE,1.06396716885329,33,22
72,-0.26820551104425,-1.82487117402051,-0.796693707823487,0.0958897985438904,TRUE,1.01756463977629,36,24
73,0.906959032258148,-0.106730714847638,0.948844214758382,1.98554392187903,TRUE,1.08221313841647,35,23
74,-1.07856515919169,-2.00760668959811,-0.935921438776371,0.0574147264479662,TRUE,1.01382319425588,37,25
75,0.903594115651263,-0.400337937287819,0.681459281249275,1.80396711288613,TRUE,1.12941768527745,38,25
76,-0.10599457950482,-2.42132584751088,-1.02878141637767,0.208075248993335,TRUE,1.06688024049055,32,21
77,2.34893071924167,-0.484984499137336,0.614514807922573,2.15014526523601,FALSE,1.05723512902636,43,28
78,1.48017505016289,-2.77917591225057,0.024499410264045,2.42328390323553,TRUE,1.18278172990528,35,23
79,3.10255892630322,0.881660229730408,2.70559936631527,4.40749998341342,TRUE,1.13888897136295,36,24
80,-1.79352275676176,-2.82540163959222,-1.78880392343794,-0.785590922298427,TRUE,1.05484012220262,41,27
81,9.81385789041001,-1.90751438273287,0.768863567498967,12.1489576645861,TRUE,1.18691910948618,37,25
82,0.810940574363017,-0.94957663484951,-0.193202842220691,0.41896459815294,FALSE,1.0131548818327,31,21
83,1.90548760628899,-1.5242574431578,0.455644194502991,1.91617069993415,TRUE,1.09446039614886,40,26
84,-1.20658510896405,-2.21578595504885,-0.903581949587728,0.409355709206755,TRUE,1.0861718994968,35,23
85,0.891736230184725,-0.590300559859513,0.84570160364017,2.19110521731256,TRUE,1.05260743700204,38,25
86,-0.195603186607152,-1.3408972812453,-0.112084736829565,1.09536314890184,TRUE,1.02210149695591,36,24
87,-0.563050340247728,-1.15958627917986,-0.347275701251576,0.353807959079364,TRUE,1.01577174045391,33,22
88,1.91140028173804,-0.284746899591872,0.99531585433249,2.18105777949026,TRUE,1.09048270354142,37,25
89,-0.113834663883217,-0.823825940769419,0.0650241956028585,1.04522900916481,TRUE,1.09238450458996,40,26
90,-1.08966430280147,-1.83522766912999,-0.91917864254461,0.169889289700675,TRUE,1.03194385288098,44,29
91,-0.94717621366387,-1.98751111803789,-1.07255230802613,0.00249921909112206,TRUE,1.02157145122937,36,24
92,0.33927119609356,-0.381077272795112,0.511941917420122,1.44419097406493,TRUE,1.02362163259473,40,26
93,0.61183638679172,-0.585061519068377,0.40092149789821,1.42395855213079,TRUE,1.08495919013257,32,21
94,0.22093466260229,-3.06357980254999,-0.474532314532544,2.04276785031229,TRUE,1.09429682008743,27,18
95,-0.566874407768436,-2.66494045428664,-0.660313514791316,0.809023996252806,TRUE,1.03346661990319,33,22
96,0.398487808620551,-0.427154056622092,0.433014170757018,1.25647709863058,TRUE,1.02593641963254,36,24
97,-0.782886825547435,-3.39170134428441,-2.11567217407311,-0.884756588071241,FALSE,1.04606750338734,35,23
98,2.20368413927421,-0.136074904627651,1.56470542811837,3.65806027184703,TRUE,1.05938027448614,35,23
99,-0.589680626807754,-1.4679794879657,-0.628758421170983,0.339083097151981,TRUE,1.0354727095858,36,24
100,0.411456649742759,-0.611193870752904,0.361671342345327,1.33076804634746,TRUE,1.10998810079603,40,26
101,2.88461605037516,1.62119649925661,2.91962485981039,4.12364810937784,TRUE,1.15146126693543,33,22
102,2.49554873178772,1.36563734188397,2.28276176449802,3.46518291317106,TRUE,1.11181158237968,36,24
103,0.705545673025498,-1.07318585127386,-0.0438980515590992,0.965584824746196,TRUE,1.14897464160659,36,24
104,-1.06285664851018,-2.01715839499435,-0.651894369082823,0.749005594967753,TRUE,1.05346338180998,34,23
105,1.93054575008793,-2.01988926497546,-0.697468349402552,0.974178797212795,FALSE,1.03495496358888,40,26
106,1.58175690885141,-0.770242869142766,1.38643782991434,2.83641351023573,TRUE,1.12824512253829,27,18
107,-0.737449321113692,-2.99292637493944,-1.89346678974525,-0.665534829887054,TRUE,1.0380138981666,33,22
108,0.0260392446840507,-2.07563007133461,-0.852580494594646,0.29704371851128,TRUE,1.0563210894343,39,26
109,4.50275698689278,2.43114949058794,3.91780521551534,5.28147436749503,TRUE,1.0528667848433,36,24
110,-0.706851015660093,-1.92874796418771,-0.975476261621688,-0.154478206623399,TRUE,1.09746442380791,36,24
111,1.86624668229214,-1.23958743889043,0.00815338548734168,1.23482844449107,FALSE,1.13017243008639,31,21
112,0.63036076595262,-0.246424562948683,0.899011064307842,2.35717012009468,TRUE,1.069154471949,36,24
113,1.76594874864293,1.32314325869322,2.31570384745821,3.61369240021338,TRUE,1.09893597236404,34,23
114,0.072646797503384,-0.379046258459352,0.746346343098303,1.69045842025931,TRUE,1.09874318662374,41,27
115,-0.620985365449978,-0.894185957421567,0.185819333991233,1.48198611147705,TRUE,1.0880554056676,36,24
116,0.919142044952204,-0.0779805273980788,1.02072842733755,2.09413300414973,TRUE,1.03880034857698,39,26
117,1.88029970070991,0.230602515262387,1.38265678558955,2.61195569647692,TRUE,1.02169105735937,32,21
118,1.87916549080551,-1.90247524321354,-0.0971106462539839,1.79818475316423,FALSE,1.14811843287114,33,22
119,0.383949045286669,-1.57149427179996,-0.208460899584156,1.24526656295859,TRUE,1.41075369921619,28,19
120,-0.348874221577034,-1.56279685742227,-0.748512651889693,0.135340473652569,TRUE,1.0462064923484,36,24
121,0.368271205373771,-0.759872135999746,0.427616542175402,1.66236134312643,TRUE,1.05760752037181,45,30
122,-0.0602736226124834,-0.993002997114081,-0.0647700398620166,0.733454714654909,TRUE,1.04182171954207,28,19
123,1.81880774941288,0.106818258168608,1.16707133746081,2.39649297373374,TRUE,1.02827333147015,34,23
124,-0.308388324344766,-2.08126225073273,-0.0460975729525137,1.89023782389874,TRUE,1.02844961035596,33,22
125,-0.346238485620909,-1.32681232002185,-0.594368400996431,0.0703976141489542,TRUE,1.05365338726054,33,22
126,0.620055634142869,-1.47227143393102,-0.303369850913954,0.890071016713518,TRUE,1.0250848029003,30,20
127,0.100441678698671,-1.12905424937168,0.0466103241596127,1.11481169543159,TRUE,1.02734190884475,40,26
128,1.57681250120587,0.06430949680174,1.77803154428412,3.24593746217747,TRUE,1.11269396426536,39,26
129,0.658126271062676,-0.755217632883773,0.221228911783078,1.28300264683938,TRUE,1.02372202576644,38,25
130,4.98322790954193,3.17947568861827,4.87131656284769,6.39946133745281,TRUE,1.05289378207587,38,25
131,-1.33684632178921,-2.82988958021035,-1.87296314929944,-1.11855651424701,TRUE,1.02331052028454,34,23
132,1.85938106577437,-0.27490666216294,1.0084059749254,2.23253971183202,TRUE,1.03622952560132,38,25
133,-0.284028798067304,-1.47245486584857,-0.385500449576298,0.564164277316113,TRUE,1.04161032309591,36,24
134,-1.77819123587928,-2.38626918337138,-1.45276538777422,-0.457158163122903,TRUE,1.08267272478982,41,27
135,-0.544137380247522,-1.20597497145852,-0.232367958053908,0.712595284166406,TRUE,1.03958709812123,37,25
136,3.00584314135188,1.05731128014646,1.94260625455216,3.00107455505176,FALSE,1.02334361604662,35,23
